jenis_ruangan,luas_ruangan,tingkat_kerumitan,durasi_pengerjaan,harga_proyek, spesifikasi_design,Area Layanan,Deskrpsi
kamar_tidur,17,2,5,11200000,Japandi,Bogor,Transformasi kamar tidur dengan sentuhan Japandi di Bogor. Menghadirkan suasana hunian yang luas 18.0m² dengan detail estetik.
ruang_tamu,3,3,8,23500000,Industrial,Depok,Transformasi ruang tamu dengan sentuhan Industrial di Depok. Menghadirkan suasana hunian yang luas 35.0m² dengan detail estetik.
dapur,14,2,4,9800000,Scandinavian,Depok,Pengerjaan interior dapur bergaya Scandinavian untuk klien di Depok. Fokus pada efisiensi ruang 15.0m² dan kenyamanan maksimal.
kantor,8,4,10,31500000,Modern,Depok,Pengerjaan interior kantor bergaya Modern untuk klien di Depok. Fokus pada efisiensi ruang 40.0m² dan kenyamanan maksimal.
cafe,28,5,18,58000000,Ekletik / Colorful Minimalist,Bandung,Pengerjaan interior cafe bergaya Ekletik / Colorful Minimalist untuk klien di Bandung. Fokus pada efisiensi ruang 60.0m² dan kenyamanan maksimal.
toko,13,3,12,34200000,Modern,Bogor,Desain toko bertema Modern yang berlokasi di Bogor. Area 45.0m² dirancang untuk menciptakan harmoni dan ketenangan.
ruang_makan,24,2,6,15000000,Modern Minimalist,Tangerang,"Proyek Modern Minimalist pada ruang makan seluas 25.0m² di wilayah Tangerang, menggabungkan material premium dengan fungsi ruang yang cerdas."
kamar_tidur,19,1,4,8700000,Japandi,Jakarta,Transformasi kamar tidur dengan sentuhan Japandi di Jakarta. Menghadirkan suasana hunian yang luas 20.0m² dengan detail estetik.
ruang_tamu,29,3,7,21000000,Industrial,Jakarta,Pengerjaan interior ruang tamu bergaya Industrial untuk klien di Jakarta. Fokus pada efisiensi ruang 30.0m² dan kenyamanan maksimal.
dapur,21,2,5,12500000,Scandinavian,Tangerang,"Proyek Scandinavian pada dapur seluas 22.0m² di wilayah Tangerang, menggabungkan material premium dengan fungsi ruang yang cerdas."
kamar_tidur,23,2,6,13500000,Modern,Tangerang,Implementasi gaya Modern untuk kamar tidur di Tangerang. Mengoptimalkan lahan 24.0m² agar terlihat modern namun tetap fungsional.
ruang_tamu,27,3,7,19800000,Ekletik / Colorful Minimalist,Depok,Transformasi ruang tamu dengan sentuhan Ekletik / Colorful Minimalist di Depok. Menghadirkan suasana hunian yang luas 28.0m² dengan detail estetik.
dapur,17,2,5,10400000,Modern,Bogor,"Proyek Modern pada dapur seluas 18.0m² di wilayah Bogor, menggabungkan material premium dengan fungsi ruang yang cerdas."
kantor,18,4,12,37200000,Modern Minimalist,Bogor,Pengerjaan interior kantor bergaya Modern Minimalist untuk klien di Bogor. Fokus pada efisiensi ruang 50.0m² dan kenyamanan maksimal.
cafe,15,5,20,69500000,Japandi,Jakarta,Desain cafe bertema Japandi yang berlokasi di Jakarta. Area 75.0m² dirancang untuk menciptakan harmoni dan ketenangan.
toko,6,3,9,26800000,Industrial,Depok,"Proyek Industrial pada toko seluas 38.0m² di wilayah Depok, menggabungkan material premium dengan fungsi ruang yang cerdas."
ruang_makan,26,2,6,15800000,Scandinavian,Bandung,"Proyek Scandinavian pada ruang makan seluas 27.0m² di wilayah Bandung, menggabungkan material premium dengan fungsi ruang yang cerdas."
kamar_tidur,15,1,3,7200000,Modern,Depok,"Proyek Modern pada kamar tidur seluas 16.0m² di wilayah Depok, menggabungkan material premium dengan fungsi ruang yang cerdas."
ruang_tamu,10,4,11,33000000,Ekletik / Colorful Minimalist,Bandung,Implementasi gaya Ekletik / Colorful Minimalist untuk ruang tamu di Bandung. Mengoptimalkan lahan 42.0m² agar terlihat modern namun tetap fungsional.
dapur,19,2,5,11800000,Modern,Bandung,Pengerjaan interior dapur bergaya Modern untuk klien di Bandung. Fokus pada efisiensi ruang 20.0m² dan kenyamanan maksimal.
kantor,23,4,13,40200000,Modern Minimalist,Depok,Implementasi gaya Modern Minimalist untuk kantor di Depok. Mengoptimalkan lahan 55.0m² agar terlihat modern namun tetap fungsional.
